index,payload,url,method,RTT,requestTime,responseTime,status,length,words,lines,redirected
31,CVS/Root,http://testphp.vulnweb.com/CVS/Root,GET,0.438422,0.000241,0.438181,200,1,0,0,
43,.idea/,http://testphp.vulnweb.com/.idea/,GET,0.439379,0.000268,0.439111,200,951,46,13,
231,admin,http://testphp.vulnweb.com/admin,GET,0.470165,0.000661,0.469504,301,169,11,7,http://testphp.vulnweb.com/admin/
379,.idea/.name,http://testphp.vulnweb.com/.idea/.name,GET,0.428145,0.000187,0.427958,200,6,1,0,
634,cgi-bin/,http://testphp.vulnweb.com/cgi-bin/,GET,0.204125,0.000211,0.203914,403,276,28,9,
642,CVS/,http://testphp.vulnweb.com/CVS/,GET,0.202904,0.00024,0.202664,200,595,31,10,
1475,.idea/encodings.xml,http://testphp.vulnweb.com/.idea/encodings.xml,GET,0.204533,0.000213,0.20432,200,171,11,5,
1750,images/,http://testphp.vulnweb.com/images/,GET,0.203963,0.000176,0.203787,200,377,21,8,
1761,.idea,http://testphp.vulnweb.com/.idea,GET,0.436636,0.000679,0.435957,301,169,11,7,http://testphp.vulnweb.com/.idea/
1914,.idea/scopes/scope_settings.xml,http://testphp.vulnweb.com/.idea/scopes/scope_settings.xml,GET,0.209459,0.000286,0.209173,200,143,9,4,
2175,admin/,http://testphp.vulnweb.com/admin/,GET,0.203601,0.000239,0.203362,200,262,16,7,
2299,CVS/Entries,http://testphp.vulnweb.com/CVS/Entries,GET,0.21011,0.000177,0.209933,200,1,0,0,
2515,.idea/workspace.xml,http://testphp.vulnweb.com/.idea/workspace.xml,GET,0.222532,0.00876,0.213772,200,12473,774,216,
2691,.idea/modules.xml,http://testphp.vulnweb.com/.idea/modules.xml,GET,0.20309,0.000285,0.202805,200,275,15,9,
3380,login.php,http://testphp.vulnweb.com/login.php,GET,0.212687,0.000221,0.212466,200,5523,432,119,
3702,.idea/misc.xml,http://testphp.vulnweb.com/.idea/misc.xml,GET,0.205811,0.000417,0.205394,200,266,14,8,
4193,_mmServerScripts/MMHTTPDB.php,http://testphp.vulnweb.com/_mmServerScripts/MMHTTPDB.php,GET,0.204597,0.000237,0.20436,200,93,4,0,
4268,index.php,http://testphp.vulnweb.com/index.php,GET,0.209271,0.000208,0.209063,200,4958,388,109,
4464,.idea/vcs.xml,http://testphp.vulnweb.com/.idea/vcs.xml,GET,0.202761,0.000221,0.20254,200,173,13,7,
4587,index.zip,http://testphp.vulnweb.com/index.zip,GET,0.203693,0.000345,0.203348,200,2586,55,1,
4715,_mmServerScripts/,http://testphp.vulnweb.com/_mmServerScripts/,GET,0.214491,0.000261,0.21423,200,400,21,8,
